enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,candidate_id,profession,shift_duration,weekend_shift,night_shift,hourly_rate,travel_distance,difficulty_score,fill_probability,filled
6491,city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,10,Unknown,Unknown,1,48,0.0,6491,Healthcare Assistant,8,No,No,28,20,49,0.5356536708339716,1
7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0.0,7041,Care Assistant,8,No,No,35,10,44,0.7020633698789296,1
22767,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0.0,22767,Occupational Therapist,8,No,No,31,18,47,0.6055324872205857,1
14505,city_67,0.855,Unknown,No relevent experience,no_enrollment,High School,Unknown,4,Unknown,Unknown,never,22,0.0,14505,Support Worker,8,No,No,28,20,49,0.5356536708339716,0
17139,city_21,0.624,Unknown,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0,17139,Healthcare Assistant,8,No,No,30,48,53,0.3944675127794143,1
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Unknown,Unknown,2,72,0.0,28476,Registered Nurse,12,No,No,28,11,47,0.6055324872205857,1
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,Unknown,11,<10,Pvt Ltd,1,8,1.0,21538,Registered Nurse,12,No,No,24,15,50,0.5,0
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0,10408,Physiotherapist,8,No,Yes,27,32,67,0.08101976866530786,1
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0.0,14928,Physiotherapist,8,No,No,23,11,50,0.5,0
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0.0,22293,Care Assistant,12,No,No,23,29,53,0.3944675127794143,1
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,Unknown,Unknown,1,24,0.0,4324,Healthcare Assistant,8,No,No,35,40,50,0.5,1
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0.0,26966,Healthcare Assistant,8,No,No,28,39,52,0.42905340311653367,0
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0,26494,Occupational Therapist,12,Yes,No,38,1,50,0.5,0
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206,0.0,4866,Occupational Therapist,8,No,No,32,47,52,0.42905340311653367,0
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,Unknown,1,10000+,Other,1,152,0.0,12726,Occupational Therapist,8,No,No,35,27,47,0.6055324872205857,1
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0,10164,Physiotherapist,8,Yes,No,25,35,64,0.11920292202211755,1
8612,city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,12,Unknown,Unknown,4,50,0.0,8612,Healthcare Assistant,8,No,Yes,26,8,62,0.15260866484263105,0
24659,city_71,0.884,Male,No relevent experience,no_enrollment,Unknown,Unknown,3,Unknown,Unknown,never,106,0.0,24659,Healthcare Assistant,8,No,Yes,20,12,66,0.09231302875229802,0
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0,2547,Registered Nurse,8,No,Yes,32,28,63,0.13503642292280238,1
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,Unknown,4,10/49,Pvt Ltd,2,36,0.0,13854,Physiotherapist,12,Yes,Yes,37,48,75,0.027346786796182875,0
31654,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0,31654,Support Worker,8,No,No,31,19,47,0.6055324872205857,1
13643,city_64,0.6659999999999999,Unknown,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0.0,13643,Physiotherapist,8,No,Yes,19,29,70,0.05431326613264062,0
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0,5590,Support Worker,8,No,No,35,42,50,0.5,1
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,Unknown,Unknown,never,26,1.0,22452,Registered Nurse,12,No,No,18,42,58,0.24179617240741008,0
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0,9006,Care Assistant,12,Yes,No,19,18,63,0.13503642292280238,0
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0,25987,Healthcare Assistant,12,No,Yes,30,34,65,0.10500058502026482,0
4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,Unknown,Unknown,>4,20,1.0,4476,Registered Nurse,8,No,No,30,19,47,0.6055324872205857,1
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21,0.0,25103,Healthcare Assistant,12,No,No,31,24,48,0.5709465968834663,1
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Unknown,Unknown,1,92,1.0,5568,Occupational Therapist,8,Yes,No,29,34,61,0.17201283293576136,0
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0,2195,Care Assistant,8,No,Yes,38,32,61,0.17201283293576136,0
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0,30533,Care Assistant,8,Yes,Yes,37,2,66,0.09231302875229802,0
28512,city_104,0.924,Unknown,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0,28512,Registered Nurse,8,Yes,Yes,19,32,81,0.011790839864200936,0
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,Unknown,4,10000+,Pvt Ltd,1,43,0.0,1023,Care Assistant,12,No,No,19,8,51,0.46434632916602836,0
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0,12253,Support Worker,8,No,No,31,45,53,0.3944675127794143,0
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0,25296,Care Assistant,8,Yes,No,39,9,51,0.46434632916602836,1
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,2,19,0.0,13238,Healthcare Assistant,8,No,Yes,24,23,66,0.09231302875229802,0
13478,city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,Never,32,1.0,13478,Healthcare Assistant,8,Yes,Yes,21,29,79,0.015629270047407037,0
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0,18578,Healthcare Assistant,8,No,No,28,7,46,0.6390927451628512,1
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Unknown,Unknown,1,90,0.0,29975,Healthcare Assistant,8,No,No,24,5,48,0.5709465968834663,1
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0,26516,Support Worker,8,Yes,No,18,40,68,0.07100001915079908,0
24690,city_41,0.8270000000000001,Unknown,Has relevent experience,Unknown,Masters,STEM,13,<10,Unknown,1,15,0.0,24690,Physiotherapist,8,Yes,No,30,32,60,0.1933213698023087,0
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0,8433,Occupational Therapist,12,No,No,25,40,55,0.32865254651727005,0
9572,city_11,0.55,Unknown,No relevent experience,Full time course,High School,Unknown,3,Unknown,Unknown,Never,98,0.0,9572,Registered Nurse,12,No,No,33,3,43,0.7310585786300049,1
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0,5878,Healthcare Assistant,12,No,No,36,10,43,0.7310585786300049,1
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0,25695,Care Assistant,12,No,No,33,40,51,0.46434632916602836,1
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Unknown,Unknown,>4,47,0.0,9645,Healthcare Assistant,8,No,Yes,30,29,64,0.11920292202211755,0
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0,12730,Care Assistant,12,No,No,24,45,56,0.2979366301210704,1
4830,city_90,0.698,Unknown,No relevent experience,Unknown,Unknown,Unknown,2,Unknown,Pvt Ltd,never,228,1.0,4830,Occupational Therapist,8,No,Yes,40,19,57,0.2689414213699951,0
20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,4,22,0.0,20970,Occupational Therapist,12,No,No,36,25,46,0.6390927451628512,0
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,18,1.0,17271,Occupational Therapist,8,No,Yes,22,20,67,0.08101976866530786,0
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0.0,12731,Care Assistant,12,Yes,No,19,47,69,0.062135633086429685,1
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Unknown,1,46,0.0,10908,Healthcare Assistant,8,Yes,Yes,26,38,78,0.01798620996209156,0
29117,city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,12,0.0,29117,Occupational Therapist,8,No,No,33,46,52,0.42905340311653367,0
3686,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0,3686,Support Worker,8,No,No,38,10,42,0.75820382759259,1
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,22683,Care Assistant,8,No,Yes,21,11,66,0.09231302875229802,0
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0,22134,Care Assistant,12,Yes,No,27,14,58,0.24179617240741008,1
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0,31765,Healthcare Assistant,8,No,Yes,20,31,70,0.05431326613264062,0
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0,31449,Care Assistant,8,No,Yes,18,5,66,0.09231302875229802,0
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0,5987,Care Assistant,12,No,No,24,43,55,0.32865254651727005,0
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0,21762,Occupational Therapist,8,No,No,20,28,54,0.36090725483714875,0
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,136,0.0,22070,Healthcare Assistant,8,No,Yes,28,19,63,0.13503642292280238,0
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Unknown,1,27,0.0,25413,Occupational Therapist,8,No,No,30,33,50,0.5,1
5902,city_20,0.7959999999999999,Unknown,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0,5902,Occupational Therapist,8,No,No,34,2,42,0.75820382759259,1
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86,0.0,28403,Healthcare Assistant,12,No,No,27,29,51,0.46434632916602836,1
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,0.0,30937,Registered Nurse,12,No,No,25,18,50,0.5,0
28751,city_103,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,4,Unknown,Unknown,3,75,0.0,28751,Occupational Therapist,12,No,No,25,46,56,0.2979366301210704,0
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,Unknown,Public Sector,2,42,0.0,29290,Support Worker,8,No,No,36,10,43,0.7310585786300049,0
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Unknown,1,332,0.0,32401,Support Worker,8,Yes,No,36,38,58,0.24179617240741008,0
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,Unknown,Unknown,Never,140,0.0,19128,Care Assistant,8,No,Yes,35,15,60,0.1933213698023087,1
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,Unknown,3,Unknown,Unknown,never,182,0.0,29036,Support Worker,12,No,Yes,26,22,65,0.10500058502026482,0
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0,16869,Care Assistant,8,No,No,37,27,46,0.6390927451628512,0
10497,city_19,0.682,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1.0,10497,Registered Nurse,8,No,No,37,27,46,0.6390927451628512,1
18099,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0,18099,Healthcare Assistant,8,No,Yes,29,22,64,0.11920292202211755,0
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0,12081,Healthcare Assistant,8,No,No,30,21,48,0.5709465968834663,1
7364,city_160,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,2,100-500,Pvt Ltd,1,142,0.0,7364,Healthcare Assistant,12,Yes,Yes,22,31,79,0.015629270047407037,0
11184,city_74,0.579,Unknown,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0,11184,Support Worker,8,No,No,36,34,47,0.6055324872205857,1
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0,7016,Registered Nurse,8,Yes,No,22,6,59,0.21657909576817594,1
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1.0,8695,Support Worker,8,Yes,No,21,13,61,0.17201283293576136,1
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0,6172,Support Worker,12,No,No,38,40,48,0.5709465968834663,1
14672,city_173,0.878,Unknown,No relevent experience,no_enrollment,Masters,STEM,>20,Unknown,Unknown,1,150,0.0,14672,Registered Nurse,8,No,No,40,15,42,0.75820382759259,1
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0,18257,Registered Nurse,8,No,No,37,27,46,0.6390927451628512,1
24493,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Unknown,1,140,0.0,24493,Registered Nurse,8,No,No,19,31,56,0.2979366301210704,0
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0,1180,Registered Nurse,8,No,Yes,32,48,67,0.08101976866530786,0
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0,28627,Healthcare Assistant,12,No,No,25,42,55,0.32865254651727005,1
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0,8168,Physiotherapist,8,No,No,31,23,48,0.5709465968834663,1
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0,10473,Physiotherapist,12,Yes,No,21,46,68,0.07100001915079908,0
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0,25349,Registered Nurse,8,No,Yes,29,35,67,0.08101976866530786,0
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Unknown,Unknown,4,46,0.0,5220,Physiotherapist,12,No,No,23,8,49,0.5356536708339716,1
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0,4789,Physiotherapist,12,Yes,No,25,33,63,0.13503642292280238,0
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0,11338,Registered Nurse,8,No,Yes,26,28,66,0.09231302875229802,0
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,Unknown,Unknown,1,160,1.0,27963,Physiotherapist,8,No,No,26,7,47,0.6055324872205857,0
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101,0.0,8571,Support Worker,8,No,No,33,36,50,0.5,0
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Unknown,1,46,0.0,16303,Care Assistant,8,No,No,26,43,54,0.36090725483714875,0
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0,20576,Care Assistant,8,Yes,No,40,13,51,0.46434632916602836,0
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0,32966,Registered Nurse,8,Yes,No,36,42,59,0.21657909576817594,0
21199,city_90,0.698,Unknown,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0,21199,Healthcare Assistant,12,No,No,25,31,53,0.3944675127794143,1
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0,18819,Registered Nurse,8,Yes,Yes,24,13,74,0.031414371031570125,0
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0,14199,Healthcare Assistant,12,No,No,30,35,51,0.46434632916602836,0
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0,7666,Care Assistant,8,No,No,22,50,58,0.24179617240741008,0
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0,13915,Registered Nurse,8,No,No,37,7,42,0.75820382759259,0
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0,10555,Occupational Therapist,12,No,No,35,22,46,0.6390927451628512,1
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0,16040,Support Worker,8,No,No,24,40,55,0.32865254651727005,1
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,Unknown,Unknown,1,45,0.0,32826,Physiotherapist,8,Yes,No,23,34,64,0.11920292202211755,0
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109,0.0,13253,Healthcare Assistant,12,No,No,39,9,41,0.7834209042318241,1
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0,15637,Occupational Therapist,12,No,Yes,27,32,67,0.08101976866530786,0
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0.0,28074,Physiotherapist,8,Yes,No,32,35,60,0.1933213698023087,0
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0,23012,Physiotherapist,8,No,No,34,3,42,0.75820382759259,1
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0,16110,Registered Nurse,8,No,Yes,30,21,63,0.13503642292280238,0
3921,city_36,0.893,Unknown,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0.0,3921,Physiotherapist,8,No,No,18,13,52,0.42905340311653367,1
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0,24530,Support Worker,8,No,Yes,37,33,62,0.15260866484263105,0
1924,city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0.0,1924,Occupational Therapist,8,No,No,38,36,47,0.6055324872205857,1
32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Unknown,Unknown,4,290,0.0,32776,Physiotherapist,8,No,No,26,10,48,0.5709465968834663,1
1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,Unknown,2,<10,NGO,never,145,0.0,1907,Registered Nurse,12,No,No,36,36,48,0.5709465968834663,0
23947,city_103,0.92,Unknown,No relevent experience,no_enrollment,Phd,STEM,0,Unknown,Unknown,Never,70,0.0,23947,Support Worker,12,No,Yes,23,18,66,0.09231302875229802,0
3116,city_21,0.624,Male,No relevent experience,no_enrollment,Unknown,Unknown,3,Unknown,Unknown,1,24,0.0,3116,Care Assistant,8,No,Yes,39,31,61,0.17201283293576136,0
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0,24829,Occupational Therapist,8,No,No,21,45,58,0.24179617240741008,0
30488,city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,2,Unknown,Unknown,1,20,0.0,30488,Physiotherapist,8,No,No,35,40,50,0.5,1
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0,1265,Registered Nurse,8,Yes,Yes,23,1,73,0.03606453809916635,0
22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,Unknown,Unknown,4,21,1.0,22098,Care Assistant,8,Yes,No,27,31,62,0.15260866484263105,0
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0,13342,Care Assistant,8,Yes,No,20,26,64,0.11920292202211755,0
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0.0,24608,Healthcare Assistant,8,No,No,31,16,47,0.6055324872205857,1
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,>4,156,0.0,20081,Support Worker,12,Yes,No,19,38,67,0.08101976866530786,0
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0.0,24796,Physiotherapist,12,No,No,36,12,43,0.7310585786300049,1
